ID,Card Type,Card Role,Card Name,Card Instructions,Card Description,Scaled GHG,Scaled Money,Hope,Momentum,Epic Good,Epic Bad,Preceding Event,Shuffle In ID?
2,Action,Family,Choose Mass Transit,,Public transit uses scale to reduce emissions. By taking cars off the road<c> you reduce city traffic and air pollution.,-2,1,0,0,0,0,,
3,Action,Family,Eat A Plant-Rich Diet,,Current food production pollutes our planet. Food-chain emissions could drop 63% if we ate vegetarian<c> 70% for vegan.,-3,-1,0,1,0,0,,
4,Action,Family,Reduce Food Waste,,The food we waste is responsible for roughly 8% of ALL our global emissions.,-4,2,0,0,0,0,,
5,Action,Government,Recycle A/C Units,,Properly recycle A/C units. Refrigeration chemicals are 1000x more powerful than CO2 at warming the planet.,-3,-2,0,0,0,0,,
6,Action,Family,Switch To Bamboo,,Stop logging virgin forests for toilet paper. Bamboo is faster growing and produces soft hygiene products.,-2,-2,0,0,0,0,,
7,Action,Business,Give Trash A New Life,,Make waste history. Making new products from old ones takes less energy and materials.,-1,1,1,0,0,0,,
8,Action,Family,Vote Climate,,Depolarize climate<c> and vote for politicians who share your values<c> creating climate-positive policies.,-1,1,1,1,0,0,,
9,Action,Family,Make Climate Trendy,,Use social media and personal influence to make climate cool again.,-1,1,1,1,0,0,,
10,Action,Nonprofit,Power Prayer With Action,,Unite places of worship around climate change to protect creation and those in poverty who are most affected.,-1,-1,1,1,0,0,,
11,Action,Government,Educate Girls,,Educate girls to participate in local economies<c> strengthen families<c> and fight climate change.,-2,-1,1,1,0,0,,
12,Action,Government,Improve Neighborhoods,,Better align the location of housing<c> jobs and services to reduce driving and lower the cost of living.,-1,1,1,1,0,0,,
13,Action,Nonprofit,Build Daycare For All,,Create combined day care centers for elders and children<c> reconnect generations and use fewer resources.,-1,-1,0,0,0,0,,
14,Action,Government,Support Smaller Families,,Help families of all sizes plan for their future. Support them with programs and policies that help reduce stress on the planet and lead to happier<c> healthier families.,-2,2,0,0,0,0,,
15,Action,Nonprofit,Reverse Extinction,,Bring back the woolly mammoth to keep permafrost methane frozen in place.,-1,-2,1,1,0,0,,
16,Action,Government,Invest In Battery Tech,,Renewable energy & electric cars need batteries to store energy. Better<c> cheaper batteries means more efficient energy usage.,-1,-1,0,1,0,0,,
17,Action,Nonprofit,Join Community Solar,,Band together with your neighbors to share the costs and benefits of solar.,-3,-1,1,1,0,0,,
18,Action,Family,Sign Up For Renewables,,Sign up for the renewable energy program through your electric utility.,-1,1,1,1,0,0,,
19,Action,Family,Harness Your Farm's Wind,,Diversify your land use and your income with wind energy.,-1,1,0,0,0,0,,
20,Action,Family,Offset Your Emissions,,Invest in projects that mitigate the greenhouse gas released through other activities<c> like flying.,-1,-1,0,1,0,0,,
21,Action,Family,Plant Trees,,Restore forests in your area with native species. Trees breathe CO2 and exhale oxygen.,-2,-1,1,1,0,0,,
22,Action,Nonprofit,Cultivate Silvopasture,,Combine trees and pasture to lower cow methane emissions and sequester carbon.,-2,-2,0,0,0,0,,
23,Action,Nonprofit,Plant Regeneratively,,Incorporate farming practices that help improve soil health and store carbon.,-2,-1,0,0,0,0,,
24,Action,Nonprofit,Use Clean Cookstoves,,3 billion people cook over fires<c> which cause health problems and greenhouse gasses. Clean stoves would save lives and buy us time.,-3,-2,0,0,0,0,,
